,City,Lat,Lng,temp,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
0,boa vista,2.82,-60.67,80.6,75,BR,1592438482,83,80.6,2.24
1,saldanha,-33.01,17.94,50.0,11,ZA,1592438644,71,50.0,3.36
2,jamestown,42.1,-79.24,78.8,1,US,1592438529,41,78.8,11.41
3,albany,42.6,-73.97,82.0,0,US,1592438644,47,82.0,1.88
4,hilo,19.73,-155.09,84.2,1,US,1592438640,54,84.2,8.05
5,kattivakkam,13.22,80.32,88.0,40,IN,1592438645,66,88.0,6.93
6,barrow,71.29,-156.79,42.8,1,US,1592438645,70,42.8,12.75
7,ixtapa,20.7,-105.2,84.2,5,MX,1592438645,62,84.2,11.41
8,constitucion,-35.33,-72.42,53.47,89,CL,1592438645,85,53.47,15.41
9,ushuaia,-54.8,-68.3,35.6,57,AR,1592438529,80,35.6,6.93
10,mount gambier,-37.83,140.77,48.2,66,AU,1592438646,81,48.2,12.75
11,rikitea,-23.12,-134.97,75.63,62,PF,1592438646,80,75.63,15.97
12,junction city,39.03,-96.83,93.2,1,US,1592438646,38,93.2,16.11
13,san martin,-33.08,-68.47,50.0,38,AR,1592438646,57,50.0,3.36
14,oriximina,-1.77,-55.87,78.76,33,BR,1592438638,77,78.76,2.75
15,mataura,-46.19,168.86,39.0,4,NZ,1592438527,83,39.0,3.0
16,tasiilaq,65.61,-37.64,39.2,100,GL,1592438646,80,39.2,20.8
17,ponta delgada,37.73,-25.67,62.6,20,PT,1592438511,82,62.6,10.29
18,selma,36.57,-119.61,86.0,0,US,1592438647,27,86.0,8.66
19,ippy,6.27,21.22,68.65,100,CF,1592438647,96,68.65,2.66
20,bluff,-46.6,168.33,39.0,27,NZ,1592438647,83,39.0,3.0
21,olafsvik,64.89,-23.71,48.09,100,IS,1592438647,80,48.09,10.54
22,hobart,-42.88,147.33,39.0,20,AU,1592438541,86,39.0,6.93
23,cherskiy,68.75,161.3,79.72,59,RU,1592438647,24,79.72,6.38
24,kasama,-10.21,31.18,48.09,0,ZM,1592438648,92,48.09,4.9
25,cape town,-33.93,18.42,52.0,31,ZA,1592438648,76,52.0,4.7
26,mar del plata,-38.0,-57.56,60.8,90,AR,1592438434,100,60.8,3.36
27,kahului,20.89,-156.47,89.6,20,US,1592438489,43,89.6,24.16
28,vaini,-21.2,-175.2,77.0,20,TO,1592438648,65,77.0,13.87
29,buraydah,26.33,43.98,84.2,0,SA,1592438648,23,84.2,5.82
30,pemba,-12.97,40.52,71.94,35,MZ,1592438649,73,71.94,15.93
31,ust-nera,64.57,143.2,75.72,14,RU,1592438649,26,75.72,4.47
32,butaritari,3.07,172.79,82.76,20,KI,1592438649,76,82.76,12.37
33,port lincoln,-34.73,135.87,58.44,54,AU,1592438649,58,58.44,22.88
34,hoi an,15.88,108.33,84.2,40,VN,1592438649,70,84.2,3.36
35,lazaro cardenas,17.96,-102.2,84.56,0,MX,1592438401,65,84.56,11.16
36,cenade,46.06,24.01,61.0,40,RO,1592438649,100,61.0,3.15
37,muros,42.78,-9.06,54.0,13,ES,1592438650,89,54.0,1.01
38,salalah,17.02,54.09,84.2,40,OM,1592438650,89,84.2,2.24
39,buala,-8.14,159.59,84.52,61,SB,1592438650,73,84.52,7.0
40,quatre cocos,-20.21,57.76,69.8,75,MU,1592438650,88,69.8,18.34
41,saint-philippe,-21.36,55.77,69.8,20,RE,1592438650,82,69.8,11.41
